id	name	rarity	description	requirements	effects
586	Enormous storm clouds have gathered, unl	2	Enormous storm clouds have gathered, unleashing deadly bolts of lightning. [Cloud Spire]	hiddensite 1	kill 1
587	There are rumors of a hidden site of mys	-1	There are rumors of a hidden site of mystical power. Strange cloud formations have gathered. [Cloud Spire]	hiddensite 1	
588	A mage has appeared in the midst of a th	-1	A mage has appeared in the midst of a thunderstorm. He seeks a site of power. [Cloud Spire]	pop0ok 1|hiddensite 1|noseason 3	nation -2|1com Cloud Mage|addequip 1
589	Hideous creatures have come from a marsh	-1	Hideous creatures have come from a marshland known by locals as the Witches Bog. [Witches Bog]	site 1|land 1	1com Bog Beast|2d6units Bog Beast|1com Bog Beast
590	Malevolent Conjurers have unleashed demo	1	Malevolent Conjurers have unleashed demons! [Black Tower]	pop0ok 1|site 1	1com Devil|2d6units Devil
591	People are disappearing in increasing nu	1	People are disappearing in increasing numbers. Strangely, most of them have been young and innocent virgins. [Black Tower]	site 1	unrest 20
592	The commoners are protesting against the	1	The commoners are protesting against the dark practices at the Black Tower. [Black Tower]	site 1	unrest 20
593	The Conjurers at the Black Tower have su	-1	The Conjurers at the Black Tower have summoned and fettered a devil. [Black Tower]	pop0ok 1|site 1	nation -2|1com Devil
594	A Conjurers at the Black Tower have summ	1	A Conjurers at the Black Tower have summoned a demon beyond his control! [Black Tower]	site 1|monster Circle Master	assassin Devil
595	An man missing for many moons has reappe	-1	An man missing for many moons has reappeared. He claims to have wandered for weeks through vast underground passages, only to reappear close to home. No one believes it. [Endless Caverns]	hiddensite 1	
596	Monsters have crawled from the Endless C	1	Monsters have crawled from the Endless Caverns! [Endless Caverns]	foundsite 1|pop0ok 1	1com Troll|2d6units Troll
597	Monsters have crawled from the Endless C	1	Monsters have crawled from the Endless Caverns! [Endless Caverns]	foundsite 1	1com Giant Spider|2d6units Giant Spider
598	Madmen flock to the monolith. [Monolith]	-1	Madmen flock to the monolith. [Monolith]	foundsite 1	nation -2|2d6units Madman
599	A knight and his followers have come to 	-1	A knight and his followers have come to the Ancient Temple in search of the true God. [Ancient Temple]	foundsite 1|noera 1	nation -2|1com Holy Knight|2d6units Soldier of the Faith
600	A heroine has arrived in search of The S	-2	A heroine has arrived in search of The Sacred Glen. [The Sacred Glen]	site 1|noera 1	nation -2|1com Adventurer
601	Creatures have emerged from the magical 	1	Creatures have emerged from the magical woods! [Twisting Woods]	site 1	1com Foul Spawn|1com Foul Spawn|2d6units Foul Spawn|1d6units Foul Spawn|2d6units Foul Spawn
602	Magical beings from the forest are tryin	1	Magical beings from the forest are trying to reclaim what was taken. [Forest of the Dead]	pop0ok 1|site 1	1com Carrion Centaur|1com Carrion Centaur|1d6units Manikin|1d6units Mandragora|1d6units Satyr Manikin
603	A pack of animals have been enthralled b	-1	A pack of animals have been enthralled by the Animist.	monster Animist|land 1	nation -2|2d6units Boar|1d6units Fay Boar
604	A cult is growing. They worship Fire and	1	A cult is growing. They worship Fire and do not pay heed to your priests. [Magus Temple]	hiddensite 1|pop 10	incdom -3|decscale1 Cold
605	A cult is growing. They worship Fire and	-2	A cult is growing. They worship Fire and do not pay heed to your priests. Their leader is a powerful mage. [Magus Temple]	hiddensite 1|pop 10	incdom -3|decscale1 Cold|nation -2|1com Magus
606	A winter solstice, an abundance of magic	-1	A winter solstice, an abundance of magical gems were found in the Solar Circle. [Solar Circle]	foundsite 1|season 3|pop0ok 1	3d6gems Fire
607	A summer solstice, an abundance of magic	-1	A summer solstice, an abundance of magical gems were found in the Solar Circle. [Solar Circle]	foundsite 1|season 1|pop0ok 1	
608	There are rumors of a hidden site of mys	2	There are rumors of a hidden site of mystical power.	rare 1|unluck 0	decscale1 Cold|nation 0
609	There are rumors of a hidden site of mys	-1	There are rumors of a hidden site of mystical power. A man claims to have seen a Fountain of Fire in his dreams. Actually, some fire gems were later found in the belly of a goat who had strayed into the wilderness. [Fountain of Fire]	hiddensite 1	decscale1 Cold|1d6gems Fire
610	There are rumors of a hidden site of mys	-1	There are rumors of a hidden site of mystical power. A man claims to have seen a Fountain of Fire in his dreams. Actually, some fire gems were later found in the belly of a goat who had strayed into the wilderness.	season 1|land 1	decscale1 Cold|1d6gems Fire
611	A goatherd has found a strange pillar in	-1	A goatherd has found a strange pillar in the wilderness. At its base, some magical gems were found. [Bronze Pillar]	hiddensite 1	1d6gems Fire
612	There are rumors of a hidden site of mys	-1	There are rumors of a hidden site of mystical power. Sometimes, in the wilderness, the clanging of hammer against steel has been heard echoing in the night. Also, a magic item has been found hidden under a rock. [The Steel Ovens]	hiddensite 1	decscale1 Cold|magicitem 3
613	The Wild Forest is working its magic. A 	1	The Wild Forest is working its magic. A plague of lycanthropy has swept the land. The unfortunate victims howl and rage under the moon. [Wild Forest]	site 1|noseason 3	1com Werewolf|3d6units Werewolf|1com Werewolf
614	A smallish knight has appeared on his st	-1	A smallish knight has appeared on his steed. He seeks the fabled Forest of Truffles. [Forest of Truffles]	nearbysite 1|noera 1|land 1	nation -2|1com Hog Knight
615	A beardless dwarf has appeared. He seeks	-1	A beardless dwarf has appeared. He seeks the fabled Forest of Truffles. [Forest of Truffles]	nearbysite 1|noera 1|land 1	nation -2|1com Horticulturist
616	Hoburgers have been attracted by the del	-1	Hoburgers have been attracted by the delicious truffles. [Forest of Truffles]	foundsite 1|noera 1	nation -2|1com Hoburg Priest|3d6units Hoburg Militia|incpop 10|decscale1 Death
617	The Hoburg people claim this land is the	1	The Hoburg people claim this land is theirs -especially the truffles! [Forest of Truffles]	foundsite 1|turn 12|noera 1	1com Hoburg Champion|1com Horticulturist|2d6units Hog Knight|2d6units Hoburg Crossbow|3d6units Hoburg Militia
618	A farmer and his pig found some extraord	-1	A farmer and his pig found some extraordinary truffles in the woods. [Forest of Truffles]	hiddensite 1|pop 10	1d6gems Nature
619	A farmer and his pig found some extraord	-2	A farmer and his pig found some extraordinary truffles in the woods.	land 1|forest 1|pop 10|rare 5	1d6gems Nature
620	Some gems have been found on a windy hea	-2	Some gems have been found on a windy heath. One of your mages suggests there may be more. [Rage Wind Heath]	hiddensite 1	1d6gems Air|1d6gems Fire
621	Magical gems have been found in the Oric	-1	Magical gems have been found in the Orichalcum Mine! [Orichalcum Mine]	foundsite 1	2d6gems Elemental
622	A new gold vein has been found in a Gold	-1	A new gold vein has been found in a Gold Mine! [Gold Mine]	foundsite 1	gold 400
623	A Master Smith has arrived to work wonde	-1	A Master Smith has arrived to work wonders in The Steel Ovens. [The Steel Ovens]	foundsite 1	nation -2|1com Master Smith
624	The Master Smith at the Steel Ovens has 	-1	The Master Smith at the Steel Ovens has forged an item of extraordinary power! [The Steel Ovens]	foundsite 1|monster Master Smith	magicitem 4
625	The Master Smith at the Steel Ovens has 	-1	The Master Smith at the Steel Ovens has forged an item of power! [The Steel Ovens]	foundsite 1|monster Master Smith	magicitem 3
626	The Master Smith at the Steel Ovens has 	-1	The Master Smith at the Steel Ovens has forged a magic item. [The Steel Ovens]	foundsite 1|monster Master Smith	magicitem 2
627	A Sidhe Champion has appeared at The Glo	-1	A Sidhe Champion has appeared at The Glowing Hill to lead his kin. [The Glowing Hill]	foundsite 1	nation -2|1com Sidhe Champion|addequip 3|decscale1 Drain
628	A Lord of the Sidhe has arrived with his	-1	A Lord of the Sidhe has arrived with his hunting party. [The Glowing Hill]	foundsite 1|magic 1	nation -2|1com Sidhe Lord|addequip 2|1d6units Cu Sidhe|2d6units Daoine Sidhe
629	A King of the Sidhe has arrived with his	1	A King of the Sidhe has arrived with his host to reclaim their land! [The Glowing Hill]	foundsite 1|unmagic 0	1com Sidhe Lord|1com Tuatha|addequip 1|1d6units Cu Sidhe|3d6units Daoine Sidhe
630	The Magic of the Glowing Hill is spreadi	-1	The Magic of the Glowing Hill is spreading through the land. [The Glowing Hill]	foundsite 1	decscale2 Drain
631	People say there is a hill in the forest	-1	People say there is a hill in the forest, through which the lands of Faerie can be reached.  [The Glowing Hill]	hiddensite 1|pop 10	decscale1 Drain
632	People say there is a hill in the forest	2	People say there is a hill in the forest, through which the lands of Faerie can be reached.	land 1|pop 10|rare 1	decscale1 Drain
633	A hunting party has been seen in the woo	-1	A hunting party has been seen in the woods. The hunters ride on white horses and their dogs are the color of snow. [The Glowing Hill]	site 1|pop 10	decscale1 Drain
634	A pack of dragons strode out of a forest	1	A pack of dragons strode out of a forest and started to make mayhem. [Dragon Forest]	site 1	1com Cave Drake|1d6units Cave Drake
635	Some drakes from the Dragon Forest have 	-1	Some drakes from the Dragon Forest have been tamed. [Dragon Forest]	foundsite 1	nation -2|1d6units Cave Drake
636	Dragons have been sighted in a forest ne	1	Dragons have been sighted in a forest nearby. [Dragon Forest]	hiddensite 1|pop 10	unrest 15
637	Drakes have come from the Steaming Swamp	1	Drakes have come from the Steaming Swamp to wreak havoc! [Steam Swamp]	site 1	1com Swamp Drake|1d6units Swamp Drake|1com Swamp Drake
638	Some gems have been found in a steaming 	-1	Some gems have been found in a steaming swamp. [Steam Swamp]	hiddensite 1|pop0ok 1	1d6gems Fire|1d6gems Water
639	The Steaming Swamp has yielded some extr	-1	The Steaming Swamp has yielded some extra gems this month. [Steam Swamp]	hiddensite 1	1d6gems Fire|1d3gems Water
640	An ancient oak has been struck by lightn	-1	An ancient oak has been struck by lightning. It was strangely unaffected and between its roots some magic gems were found. [Thunder Oak]	hiddensite 1	1d6gems Air|revealsite 1
641	The people here tell stories of an ancie	-1	The people here tell stories of an ancient city, burned to the ground by the gods. They say it still smolders and that the wind from the east sometimes carries its ashes. [City of Ashes]	site 1	
642	A cult has formed around the Temple of t	1	A cult has formed around the Temple of the Solar Bull. [Temple of the Solar Bull]	foundsite 1	incdom -3|unrest 10
643	People pay offerings to the Great Bull. 	1	People pay offerings to the Great Bull. [Temple of the Solar Bull]	foundsite 1	incdom -2|unrest 10
644	It is said the desert wind whispers, car	1	It is said the desert wind whispers, carrying sighs of lost travelers. [Desert of Sighs]	site 1	incscale2 Death|decscale2 Cold
645	Some say the desert speaks, its voice dr	1	Some say the desert speaks, its voice dry and dreadful. [Desert of Sighs]	site 1	incscale2 Death|decscale2 Cold
646	A merchant has donated his riches. He wa	1	A merchant has donated his riches. He was lost while crossing the Desert of Sighs and found his way only after having prostrated himself in prayer to you. [Desert of Sighs]	site 1	gold 200
